,SMILES,%F,logK(%F),MolW(Da),NumHAcceptors,NumHDonors,LogP,Lipinski_rule,Category
1185,Cc1scc2c1N(C(=O)CN1CCN(C)CC1)c1ccccc1NC2=O,54.0,0.069635928,370.478,5,1,2.53432,1,0
1186,Clc1ccc(C(Cn2ccnc2)OCc2csc3c(Cl)cccc23)c(Cl)c1,0.0,-2.0,437.7790000000001,4,0,7.016100000000002,0,0
1187,Clc1ccc(C(OCCN2CCCCC2)c2ccccc2)cc1,40.0,-0.1760912590556812,329.8709999999999,2,0,4.931900000000004,1,0
1188,Clc1ccc(C(c2ccccc2Cl)C(Cl)Cl)cc1,40.0,-0.1760912590556812,320.04600000000005,0,0,5.929000000000002,0,0
1189,Clc1ccc(COC(Cn2ccnc2)c2ccc(Cl)cc2Cl)c(Cl)c1,25.0,-0.477121255,416.1350000000001,3,0,6.454800000000002,0,0
1190,Clc1ccc(Nc2nnc(Cc3ccncc3)c3ccccc23)cc1,18.0,-0.6585413472804106,346.8210000000001,4,1,5.012600000000003,0,0
1191,Clc1ccc2c(c1)C(N1CCNCC1)=Nc1ccccc1O2,36.0,-0.2498774732165999,313.788,4,1,3.4292000000000025,1,0
1192,Clc1ccc2c(c1)C(c1ccccc1)=NCc1nncn1-2,93.0,1.1233849085396783,294.745,4,0,3.2717000000000027,1,1
1193,Clc1ccc2nsnc2c1NC1=NCCN1,21.0,-0.575407797,253.718,6,2,1.715799999999999,1,0
1194,Clc1cccc(Cl)c1N=C1NCCN1,95.0,1.278753601,230.098,1,2,2.1737000000000006,1,1
1195,Clc1cccc(Cl)c1NC1=NCCN1,95.0,1.2787536009528289,230.098,3,2,2.3645,1,1
1196,Clc1ccccc1C(c1ccccc1)(c1ccccc1)n1ccnc1,0.0,-2.0,344.845,2,0,5.376700000000004,0,0
1197,Clc1ccccc1CN1CCc2sccc2C1,80.0,0.602059991,263.793,2,0,3.959800000000002,1,1
1198,Cn1c(=O)c2c(ncn2C)n(C)c1=O,98.0,1.69019608,194.194,6,0,-1.0293,1,1
1199,Cn1c(=O)c2c(ncn2CC(O)CO)n(C)c1=O,90.0,0.954242509,254.246,8,2,-2.213099999999999,1,1
1200,Cn1c(=O)c2c(ncn2CC2OCCO2)n(C)c1=O,63.0,0.2311388253865867,266.25699999999995,8,0,-1.1933999999999994,1,0
1201,Cn1c(=O)c2c(ncn2CCCNCC(O)c2cc(O)cc(O)c2)n(C)c1=O,50.0,0.0,389.4120000000001,10,4,-0.4418000000000006,1,0
1202,Cn1c(=O)c2c(ncn2CCO)n(C)c1=O,80.0,0.602059991,224.22,7,1,-1.5739999999999998,1,1
1203,Cn1c(=O)c2nc[nH]c2n(C)c1=O,96.0,1.380211241711606,180.167,5,1,-1.0397000000000003,1,1
1204,Cn1c2ncnc-2c([O-])n(C)c1=O,20.0,-0.6020599913279624,179.15899999999996,6,0,-1.3078000000000007,1,0
1205,Cn1cc[nH]c1=S,93.0,1.123384909,114.173,2,1,1.08269,1,1
1206,Cn1ccnc1S,93.0,1.1233849085396783,114.173,3,1,0.7087999999999999,1,1
1207,Cn1cnc([N+](=O)[O-])c1Sc1ncnc2[nH]cnc12,60.0,0.1760912590556812,277.269,8,1,1.1457999999999997,1,0
